work_year,experience_level,job_title,salary,salary_currency,company_location
2023,SE,Data Analyst,202800,USD,US
2023,SE,Data Analyst,104300,USD,US
2023,SE,Data Scientist,239000,USD,US
2023,SE,Data Scientist,122900,USD,US
2023,SE,Data Engineer,240500,USD,US
2023,SE,Data Engineer,123700,USD,US
2023,SE,Data Engineer,205600,USD,US
2023,SE,Data Engineer,105700,USD,US
2023,EN,Data Analyst,60000,USD,US
2022,MI,Data Scientist,155000,USD,US
2023,SE,Data Engineer,240500,USD,US
2023,SE,Data Engineer,123700,USD,US
2023,SE,Data Engineer,205600,USD,US
2023,SE,Data Engineer,105700,USD,US
2022,MI,Data Scientist,110000,USD,US
2022,EN,Data Analyst,50000,USD,US
2022,EN,Data Analyst,50000,USD,US
2022,SE,Data Engineer,230000,USD,US
2022,SE,Data Engineer,154600,USD,US
2022,MI,Data Analyst,80000,USD,US
2022,SE,Data Scientist,198440,USD,US
2022,SE,Data Scientist,144000,USD,US
2022,EN,Data Analyst,64000,USD,US
2022,SE,Data Scientist,202800,USD,US
2022,SE,Data Scientist,104300,USD,US
2022,SE,Data Engineer,205600,USD,US
2022,SE,Data Engineer,105700,USD,US
2022,EN,Data Scientist,80000,USD,US
2022,MI,Data Scientist,108000,USD,US
2022,SE,Data Scientist,198440,USD,US
2022,SE,Data Scientist,144000,USD,US
2022,MI,Data Analytics Engineer,135000,USD,US
2022,SE,Data Engineer,178800,USD,US
2022,SE,Data Engineer,132100,USD,US
2022,SE,Data Engineer,229998,USD,US
2022,SE,Data Engineer,154545,USD,US
2022,SE,Data Scientist,215000,USD,US
2022,SE,Data Scientist,159000,USD,US
2022,SE,Data Engineer,229998,USD,US
2022,SE,Data Engineer,154545,USD,US
2022,SE,Data Scientist Lead,183000,USD,US
2022,SE,Data Scientist,236900,USD,US
2022,SE,Data Scientist,159200,USD,US
2022,SE,Data Architect,195400,USD,US
2022,SE,Data Architect,131300,USD,US
2022,SE,Data Architect,195400,USD,US
2022,SE,Data Architect,131300,USD,US
2022,SE,Data Engineer,178800,USD,US
2022,SE,Data Engineer,132100,USD,US
2022,SE,Data Scientist,180000,USD,US
2022,SE,Data Scientist,165000,USD,US
2022,MI,Data Analyst,97500,USD,US
2022,SE,Data Analyst,115000,USD,US
2022,EN,Data Analyst,46000,USD,US
2022,EN,Data Engineer,80000,USD,US
2022,MI,Data Analyst,113000,USD,US
2022,MI,Data Analytics Consultant,113000,USD,US
2022,SE,Data Scientist,160000,USD,US
2022,SE,Data Scientist,119300,USD,US
2022,EN,Data Scientist,82000,USD,US
2022,SE,Data Science Manager,189500,USD,US
2022,SE,Data Science Manager,140100,USD,US
2022,SE,Data Engineer,177600,USD,US
2022,SE,Data Engineer,131300,USD,US
2022,SE,Data Scientist,180000,USD,US
2022,SE,Data Scientist,140000,USD,US
2022,EN,Data Analyst,150000,USD,US
2022,SE,Data Engineer,100000,USD,US
2022,SE,Data Engineer,80000,USD,US
2022,SE,Data Scientist,160000,USD,US
2022,SE,Data Scientist,100000,USD,US
2022,SE,Data Specialist,221300,USD,US
2022,SE,Data Specialist,148700,USD,US
2022,SE,Data Scientist,160000,USD,US
2022,SE,Data Scientist,92000,USD,US
2022,EN,Data Engineer,129000,USD,US
2022,EN,Data Engineer,86000,USD,US
2022,SE,Data Scientist,160000,USD,US
2022,SE,Data Scientist,119300,USD,US
2022,MI,Data Scientist,153000,USD,US
2022,SE,Data Scientist,160000,USD,US
2022,SE,Data Scientist,92000,USD,US
2022,SE,Data Scientist,215300,USD,US
2022,SE,Data Scientist,158200,USD,US
2022,SE,Data Engineer,209100,USD,US
2022,SE,Data Engineer,154600,USD,US
2022,SE,Data Engineer,183600,USD,US
2022,SE,Data Engineer,100800,USD,US
2022,SE,Data Scientist,215300,USD,US
2022,SE,Data Scientist,140400,USD,US
2022,SE,Data Scientist,180000,USD,US
2022,SE,Data Scientist,120000,USD,US
2022,SE,Data Engineer,160000,USD,US
2022,SE,Data Engineer,113000,USD,US
2022,SE,Data Engineer,209100,USD,US
2022,SE,Data Engineer,154600,USD,US
2022,SE,Data Scientist,205300,USD,US
2022,SE,Data Scientist,140400,USD,US
2021,MI,Data Scientist,109000,USD,US
2022,MI,Data Scientist,135000,USD,US
2021,SE,Data Engineer,150000,USD,US
2021,SE,Data Science Manager,240000,USD,US
2021,MI,Data Analyst,135000,USD,US
2021,MI,Data Engineer,200000,USD,US
2021,MI,Data Engineer,100000,USD,US
2021,MI,Data Architect,170000,USD,US
2021,MI,Data Architect,150000,USD,US
2021,EN,Data Engineer,80000,USD,US
2021,SE,Data Science Manager,144000,USD,US
2021,SE,Data Engineer,153000,USD,US
2021,MI,Data Engineer,90000,USD,US
2021,MI,Data Analytics Engineer,110000,USD,US
2021,MI,Data Engineer,140000,USD,US
2020,MI,Data Engineer,106000,USD,US
2021,SE,Data Engineer,150000,USD,US
2020,SE,Data Engineer,188000,USD,US
2020,MI,Data Scientist,105000,USD,US
2021,MI,Data Engineer,200000,USD,US
2021,SE,Data Engineer,174000,USD,US
2021,MI,Data Analyst,93000,USD,US
2020,EN,Data Analyst,91000,USD,US
2021,SE,Data Scientist,165000,USD,US
2021,MI,Data Analyst,80000,USD,US
2021,MI,Data Architect,180000,USD,US
2021,SE,Data Analyst,200000,USD,US
2021,SE,Data Engineer,200000,USD,US
2021,MI,Data Engineer,110000,USD,US
2021,EN,Data Engineer,72500,USD,US
2021,MI,Data Engineer,112000,USD,US
2021,EN,Data Scientist,58000,USD,US
2020,EN,Data Analyst,72000,USD,US
2021,SE,Data Scientist,135000,USD,US
2021,MI,Data Scientist,147000,USD,US
2021,SE,Data Science Manager,174000,USD,US
2020,MI,Data Analyst,85000,USD,US
2021,SE,Data Analytics Manager,120000,USD,US
2021,MI,Data Scientist,160000,USD,US
2020,MI,Data Engineer,110000,USD,US
2021,SE,Data Analytics Manager,140000,USD,US
2020,SE,Data Scientist,120000,USD,US
2021,MI,Data Scientist,130000,USD,US
2021,MI,Data Scientist,115000,USD,US
2021,MI,Data Analyst,75000,USD,US
2021,MI,Data Analyst,62000,USD,US
2021,MI,Data Scientist,73000,USD,US
2021,SE,Data Specialist,165000,USD,US
2020,SE,Data Scientist,412000,USD,US
